lakefs-server  | time="2026-03-11T01:50:43Z" level=info msg="Config loaded" func=cmd/lakefs/cmd.initConfig file="cmd/root.go:155" fields.file=/home/lakefs/.lakefs.yaml file="cmd/root.go:155" phase=startup
lakefs-server  | time="2026-03-11T01:50:43Z" level=info msg=Config func=cmd/lakefs/cmd.initConfig file="cmd/root.go:163" actions.enabled=true actions.env.enabled=true actions.env.prefix=LAKEFSACTION_ actions.lua.net_http_enabled=false auth.api.endpoint="" auth.api.health_check_timeout=20s auth.api.skip_health_check=false auth.api.supports_invites=false auth.api.token=------ auth.authentication_api.endpoint="" auth.authentication_api.external_principals_enabled=false auth.cache.enabled=true auth.cache.jitter=3s auth.cache.size=1024 auth.cache.ttl=20s auth.cookie_auth_verification.auth_source="" auth.cookie_auth_verification.default_initial_groups="[]" auth.cookie_auth_verification.external_user_id_claim_name="" auth.cookie_auth_verification.friendly_name_claim_name="" auth.cookie_auth_verification.initial_groups_claim_name="" auth.cookie_auth_verification.persist_friendly_name=false auth.cookie_auth_verification.validate_id_token_claims="map[]" auth.encrypt.secret_key="******" auth.login_duration=168h0m0s auth.login_max_duration=336h0m0s auth.logout_redirect_url=/auth/login auth.oidc.default_initial_groups="[]" auth.oidc.friendly_name_claim_name="" auth.oidc.initial_groups_claim_name="" auth.oidc.persist_friendly_name=false auth.oidc.validate_id_token_claims="map[]" auth.remote_authenticator.default_user_group=Viewers auth.remote_authenticator.enabled=false auth.remote_authenticator.endpoint="" auth.remote_authenticator.request_timeout=10s auth.ui_config.login_cookie_names="[internal_auth_session]" auth.ui_config.login_failed_message="The credentials don't match." auth.ui_config.login_url="" auth.ui_config.logout_url="" auth.ui_config.rbac=none blockstore.azure.auth_method="" blockstore.azure.china_cloud=false blockstore.azure.disable_pre_signed=false blockstore.azure.disable_pre_signed_ui=true blockstore.azure.domain="" blockstore.azure.pre_signed_expiry=15m0s blockstore.azure.storage_access_key="" blockstore.azure.storage_account="" blockstore.azure.test_endpoint_url="" blockstore.azure.try_timeout=10m0s blockstore.gs.credentials_file="" blockstore.gs.credentials_json="" blockstore.gs.disable_pre_signed=false blockstore.gs.disable_pre_signed_ui=true blockstore.gs.pre_signed_expiry=15m0s blockstore.gs.s3_endpoint="https://storage.googleapis.com" blockstore.gs.server_side_encryption_customer_supplied="" blockstore.gs.server_side_encryption_kms_key_id="" blockstore.local.allowed_external_prefixes="[]" blockstore.local.import_enabled=false blockstore.local.import_hidden=false blockstore.local.path="~/lakefs/data/block" blockstore.s3.client_log_request=false blockstore.s3.client_log_retries=false blockstore.s3.credentials.access_key_id="******" blockstore.s3.credentials.secret_access_key="******" blockstore.s3.credentials.session_token=------ blockstore.s3.credentials_file="" blockstore.s3.disable_pre_signed=false blockstore.s3.disable_pre_signed_multipart=false blockstore.s3.disable_pre_signed_ui=true blockstore.s3.discover_bucket_region=false blockstore.s3.endpoint="http://minio:9000" blockstore.s3.force_path_style=true blockstore.s3.max_retries=5 blockstore.s3.pre_signed_endpoint="" blockstore.s3.pre_signed_expiry=15m0s blockstore.s3.profile="" blockstore.s3.region=us-east-1 blockstore.s3.server_side_encryption="" blockstore.s3.server_side_encryption_kms_key_id="" blockstore.s3.skip_verify_certificate_test_only=false blockstore.s3.web_identity.session_duration=0s blockstore.s3.web_identity.session_expiry_window=5m0s blockstore.signing.secret_key="******" blockstore.type=s3 committed.block_storage_prefix=_lakefs committed.local_cache.dir="~/lakefs/data/cache" committed.local_cache.max_uploaders_per_writer=10 committed.local_cache.metarange_proportion=0.1 committed.local_cache.range_proportion=0.9 committed.local_cache.size_bytes=1073741824 committed.permanent.max_range_size_bytes=20971520 committed.permanent.min_range_size_bytes=0 committed.permanent.range_raggedness_entries=50000 committed.sstable.memory.cache_size_bytes=400000000 database.drop_tables=false database.dynamodb.aws_access_key_id=------ database.dynamodb.aws_profile="" database.dynamodb.aws_region="" database.dynamodb.aws_secret_access_key=------ database.dynamodb.endpoint="" database.dynamodb.health_check_interval=0s database.dynamodb.max_attempts=10 database.dynamodb.max_connections=0 database.dynamodb.scan_limit=1024 database.dynamodb.table_name=kvstore database.local.enable_logging=false database.local.path="~/lakefs/metadata" database.local.prefetch_size=256 database.local.sync_writes=true database.postgres.connection_max_lifetime=5m0s database.postgres.connection_string="******" database.postgres.max_idle_connections=25 database.postgres.max_open_connections=25 database.postgres.metrics=false database.postgres.scan_page_size=0 database.type=postgres email_subscription.enabled=true fields.file=/home/lakefs/.lakefs.yaml file="cmd/root.go:163" gateways.s3.domain_name="[s3.local.lakefs.io]" gateways.s3.fallback_url="" gateways.s3.region=us-east-1 gateways.s3.verify_unsupported=true graveler.background.rate_limit=0 graveler.batch_dbio_transaction_markers=false graveler.branch_ownership.acquire=150ms graveler.branch_ownership.enabled=false graveler.branch_ownership.refresh=400ms graveler.commit_cache.expiry=10m0s graveler.commit_cache.jitter=2s graveler.commit_cache.size=50000 graveler.compaction_sensor_threshold=0 graveler.ensure_readable_root_namespace=true graveler.max_batch_delay=3ms graveler.repository_cache.expiry=5s graveler.repository_cache.jitter=2s graveler.repository_cache.size=1000 installation.access_key_id=------ installation.allow_inter_region_storage=true installation.fixed_id="" installation.secret_access_key=------ installation.user_name="" listen_address="0.0.0.0:8000" logging.audit_log_level=DEBUG logging.file_max_size_mb=102400 logging.files_keep=100 logging.format=text logging.level=INFO logging.output="[-]" logging.trace_request_headers=false phase=startup security.audit_check_interval=24h0m0s security.audit_check_url="https://audit.lakefs.io/audit" security.check_latest_version=true security.check_latest_version_cache=1h0m0s stats.address="https://stats.lakefs.io" stats.enabled=true stats.extended=false stats.flush_interval=30s stats.flush_size=100 tls.cert_file="" tls.enabled=false tls.key_file="" ugc.prepare_interval=1m0s ugc.prepare_max_file_size=20971520 ui.enabled=true ui.snippets="[]" usage_report.enabled=true usage_report.flush_interval=5m0s
lakefs-server  | time="2026-03-11T01:50:43Z" level=info msg="lakeFS run" func=cmd/lakefs/cmd.init.func9 file="cmd/run.go:157" version=1.48.2
lakefs-server  | time="2026-03-11T01:50:43Z" level=info msg="initialized Auth service" func=pkg/auth.NewBasicAuthService file="build/pkg/auth/basic_service.go:33" service=auth_service
lakefs-server  | time="2026-03-11T01:50:45Z" level=warning msg="Tried to to get AWS account ID for BI" func="pkg/cloud/aws.(*MetadataProvider).GetMetadata.func1" file="build/pkg/cloud/aws/metadata.go:81" error="operation error STS: GetCallerIdentity, https response error StatusCode: 403, RequestID: 7b231cbd-e1ad-49e9-8a95-e983f42c751a, api error InvalidClientTokenId: The security token included in the request is invalid."
lakefs-server  | time="2026-03-11T01:50:45Z" level=warning msg="Tried to to get AWS account ID for BI" func="pkg/cloud/aws.(*MetadataProvider).GetMetadata.func1" file="build/pkg/cloud/aws/metadata.go:81" error="operation error STS: GetCallerIdentity, https response error StatusCode: 403, RequestID: b8d39e8d-60ae-4fdd-acd8-bcab7585551e, api error InvalidClientTokenId: The security token included in the request is invalid."
lakefs-server  | time="2026-03-11T01:50:46Z" level=warning msg="Tried to to get AWS account ID for BI" func="pkg/cloud/aws.(*MetadataProvider).GetMetadata.func1" file="build/pkg/cloud/aws/metadata.go:81" error="operation error STS: GetCallerIdentity, https response error StatusCode: 403, RequestID: cc3ea292-7f30-4358-b9a9-e994afb4e493, api error InvalidClientTokenId: The security token included in the request is invalid."
lakefs-server  | time="2026-03-11T01:50:46Z" level=warning msg="Tried to to get AWS account ID for BI" func="pkg/cloud/aws.(*MetadataProvider).GetMetadata.func1" file="build/pkg/cloud/aws/metadata.go:81" error="operation error STS: GetCallerIdentity, https response error StatusCode: 403, RequestID: 4c730a8e-6a29-4024-94a6-6dd9b6b0b0d2, api error InvalidClientTokenId: The security token included in the request is invalid."
lakefs-server  | time="2026-03-11T01:50:47Z" level=warning msg="Tried to to get AWS account ID for BI" func="pkg/cloud/aws.(*MetadataProvider).GetMetadata.func1" file="build/pkg/cloud/aws/metadata.go:81" error="operation error STS: GetCallerIdentity, https response error StatusCode: 403, RequestID: 02489a6a-905e-49eb-9ba1-ce90a0ff30f4, api error InvalidClientTokenId: The security token included in the request is invalid."
lakefs-server  | time="2026-03-11T01:50:47Z" level=warning msg="Failed to to get AWS account ID for BI" func="pkg/cloud/aws.(*MetadataProvider).GetMetadata" file="build/pkg/cloud/aws/metadata.go:87" error="operation error STS: GetCallerIdentity, https response error StatusCode: 403, RequestID: 02489a6a-905e-49eb-9ba1-ce90a0ff30f4, api error InvalidClientTokenId: The security token included in the request is invalid."
lakefs-server  | time="2026-03-11T01:50:47Z" level=info msg="initialize blockstore adapter" func=pkg/block/factory.buildBlockAdapter file="build/pkg/block/factory/build.go:42" type=s3
